"deviceType","model","selfProvisionable"
"IndigoPress","HP Indigo 3550 Digital Press","0"
"IndigoPress","HP Indigo 3600 Digital Press","0"
"IndigoPress","HP Indigo 50000 Digital Press","1"
"LatexPrinter","V7L46","0"
"LatexPrinter","V7L47","0"
"LatexPrinter","V8L39","0"
"LatexPrinter","V8N83","0"
"LatexPrinter","M0E29","0"
"LatexPrinter","N2G70","0"
"LatexPrinter","K4T88","0"
"RIP","CloudEnabledColorDeviceV1","1"
"IHPSPress","HP T260ML","1"
"IHPSPress","HP T350M","1"
"IHPSPress","HP T360M","1"
"IHPSPress","HP T410M","1"
"IHPSPress","HP T490 HD","1"
